file,x_range,x_max,y_max
scan_point_0.dat,29-32,30.849903188470975,207.05081176757812
scan_point_0.dat,33-50,49.71544757680952,47.553428649902344
scan_point_0.dat,50-45,49.71544757680952,47.553428649902344
scan_point_0.dat,45-55,50.25446313076205,54.30665588378906
scan_point_0.dat,55-67,58.474450328538126,38.21845245361328
scan_point_1.dat,29-32,30.849903188470975,181.33193969726562
scan_point_1.dat,33-50,49.71544757680952,47.67574691772461
scan_point_1.dat,50-45,49.71544757680952,47.67574691772461
scan_point_1.dat,45-55,50.25446313076205,53.17250061035156
scan_point_1.dat,55-67,58.87871199400252,33.30411148071289
scan_point_10.dat,29-32,30.782526244226908,145.36756896972656
scan_point_10.dat,33-50,49.71544757680952,36.92881393432617
scan_point_10.dat,50-45,49.71544757680952,36.92881393432617
scan_point_10.dat,45-55,50.18708618651798,40.86716842651367
scan_point_10.dat,55-67,58.40707338429406,40.33449935913086
scan_point_11.dat,29-32,30.782526244226908,140.73764038085938
scan_point_11.dat,33-50,49.64807063256545,37.99713897705078
scan_point_11.dat,50-45,49.64807063256545,37.99713897705078
scan_point_11.dat,45-55,50.11970924227391,41.32584762573242
scan_point_11.dat,55-67,58.40707338429406,32.49443817138672
scan_point_12.dat,29-32,30.782526244226908,163.94276428222656
scan_point_12.dat,33-50,49.64807063256545,39.24560546875
scan_point_12.dat,50-45,49.64807063256545,39.24560546875
scan_point_12.dat,45-55,50.11970924227391,42.255035400390625
scan_point_12.dat,55-67,58.40707338429406,36.4466552734375
scan_point_13.dat,29-32,30.782526244226908,151.4701690673828
scan_point_13.dat,33-50,49.64807063256545,39.06804656982422
scan_point_13.dat,50-45,49.64807063256545,39.06804656982422
scan_point_13.dat,45-55,50.11970924227391,41.741859436035156
scan_point_13.dat,55-67,58.40707338429406,34.54410171508789
scan_point_14.dat,29-32,30.782526244226908,154.7183837890625
scan_point_14.dat,33-50,49.64807063256545,37.76618957519531
scan_point_14.dat,50-45,49.64807063256545,37.76618957519531
scan_point_14.dat,45-55,50.11970924227391,40.432071685791016
scan_point_14.dat,55-67,58.40707338429406,33.6580696105957
scan_point_15.dat,29-32,30.782526244226908,155.20025634765625
scan_point_15.dat,33-50,35.29678150857934,46.342464447021484
scan_point_15.dat,50-45,49.98495535378578,35.991065979003906
scan_point_15.dat,45-55,50.11970924227391,39.112361907958984
scan_point_15.dat,55-67,58.40707338429406,32.47557067871094
scan_point_16.dat,29-32,30.782526244226908,129.42417907714844
scan_point_16.dat,33-50,49.64807063256545,32.24692153930664
scan_point_16.dat,50-45,49.64807063256545,32.24692153930664
scan_point_16.dat,45-55,50.11970924227391,35.19036102294922
scan_point_16.dat,55-67,58.40707338429406,35.00786590576172
scan_point_17.dat,29-32,30.782526244226908,128.36663818359375
scan_point_17.dat,33-50,49.98495535378578,31.358230590820312
scan_point_17.dat,50-45,49.98495535378578,31.358230590820312
scan_point_17.dat,45-55,50.11970924227391,34.3653678894043
scan_point_17.dat,55-67,58.40707338429406,35.12460708618164
